,SNP,Lab_name,best_measure,best_P,best_OR_Beta,catalog_assoc_SNP,catalog_assoc_gene,CHR,MapInfo,gene,rsID,cases,eh_case,el_case,Mutation,MAF_W,mean_Beta,mean_P,median_Beta,median_P,first_Beta,first_P,min_Beta,min_P,max_Beta,max_P,ever_low_OR,ever_low_P,ever_high_OR,ever_high_P,Lab_cat,Lab_full_name,SNP.1,lab_name,jd_string,trait
451,rs635634,LDL-C,max,0.00020340000000000004,2.506,"Cholesterol, total || LDL cholesterol",,9,136155000.0,,rs635634,13200.0,6133.0,0.0,,0.1852,1.272,0.008033,1.2429999999999999,0.01146,1.4480000000000002,0.01948,0.4134,0.4122,2.506,0.00020340000000000004,1.0,1.0,1.11,0.001164,Lipids,LDL CHOLESTEROL CALC,rs635634,LDL-C,Hypercholesterolemia,LDL cholesterol
478,rs174570,LDL-C,first,0.019790000000000002,-1.6580000000000001,"LDL cholesterol || HDL cholesterol || Cholesterol, total","Metabolic syndrome (HDL) || Phospholipid levels (plasma) (ALA) || Phospholipid levels (plasma) (DPA) || Response to statin therapy (HDL, sum) || Cholesterol, total || HDL cholesterol || LDL cholesterol || Phospholipid levels (plasma) (EPA) || Response to statin therapy (Triglyceride, sum) || Liver enzyme levels (alkaline phosphatase)",11,61597212.0,FADS2,rs174570,13200.0,6133.0,0.0,Silent,0.1329,-0.6917,0.2092,-0.5245,0.3527,-1.6580000000000001,0.019790000000000002,-0.4393,0.44799999999999995,-1.178,0.1285,1.0,1.0,0.97,0.3695,Lipids,LDL CHOLESTEROL CALC,rs174570,LDL-C,Hypercholesterolemia,LDL cholesterol
479,rs10889353,LDL-C,max,0.0003665,-1.9909999999999999,"Lipid metabolism phenotypes (TG.by.NMR, whole) || LDL cholesterol || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.total, whole) || Triglycerides || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (VLDL.total, fasting) || Cholesterol, total || Lipid metabolism phenotypes (VLDL.small, whole)","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",1,63118196.0,DOCK7,rs10889353,13200.0,6133.0,0.0,Silent,0.3379,-0.8531,0.031810000000000005,-0.7506,0.06529,-1.055,0.039830000000000004,-0.05127999999999999,0.9023,-1.9909999999999999,0.0003665,1.0,1.0,0.93,0.0107,Lipids,LDL CHOLESTEROL CALC,rs10889353,LDL-C,Hypercholesterolemia,LDL cholesterol
480,rs646776,LDL-C,max,5.9150000000000005e-21,-5.957999999999999,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",,1,109818530.0,,rs646776,13200.0,6133.0,0.0,,0.2214,-4.05,2.789e-19,-3.897,3.446e-17,-4.721,5.558e-16,-2.784,4.412e-09,-5.957999999999999,5.9150000000000005e-21,1.0,1.0,0.8,2.182e-13,Lipids,LDL CHOLESTEROL CALC,rs646776,LDL-C,Hypercholesterolemia,LDL cholesterol
482,rs3846662,LDL-C,first,0.00035299999999999996,1.7280000000000002,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74651084.0,HMGCR,rs3846662,13200.0,6133.0,0.0,"Silent,Silent",0.4284,1.0979999999999999,0.003351,1.062,0.005646,1.7280000000000002,0.00035299999999999996,0.7102,0.07107000000000001,1.758,0.0008437999999999999,1.0,1.0,1.05,0.046,Lipids,LDL CHOLESTEROL CALC,rs3846662,LDL-C,Hypercholesterolemia,LDL cholesterol
486,rs2304130,LDL-C,ever_high,0.012029999999999999,0.8929,"Triglycerides || Sphingolipid levels (proportions) || LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol || Sphingolipid levels (proportions) || Triglycerides",19,19789528.0,ZNF101,rs2304130,13200.0,6133.0,0.0,Silent,0.08273,-0.8216,0.225,-0.9141,0.1873,-0.5324,0.5424,-0.5972,0.4009,-1.33,0.1621,1.0,1.0,0.89,0.012029999999999999,Lipids,LDL CHOLESTEROL CALC,rs2304130,LDL-C,Hypercholesterolemia,LDL cholesterol
487,rs157580,LDL-C,max,1.3969999999999998e-12,-3.7939999999999996,Alzheimer's disease biomarkers (<1x10-6; AB1-42) || LDL cholesterol || Alzheimer's disease || HDL cholesterol,"Alzheimer's disease || Alzheimer's disease biomarkers (<1x10-6; AB1-42) || HDL cholesterol || LDL cholesterol || Metabolic syndrome (TG) || C-reactive protein (AA women) || LDL cholesterol (AA) || AB1-42 (Normal) || Age-related macular degeneration || Age-related macular degeneration (EA) || Alzheimer's disease (late onset) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Brain imaging NS || C-reactive protein || Cardiovascular disease risk factors (CRP) || Cardiovascular disease risk factors (LDL) || Cholesterol, total || Cognitive decline || Longevity || Alzheimer's disease biomarkers (Cortical Ab)",19,45395266.0,TOMM40,rs157580,13200.0,6133.0,0.0,"Silent,Silent,Silent",0.3947,-2.517,3.865e-11,-2.447,3.58e-10,-3.2310000000000003,5.1070000000000004e-11,-1.765,1.043e-05,-3.7939999999999996,1.3969999999999998e-12,1.0,1.0,0.85,1.264e-10,Lipids,LDL CHOLESTEROL CALC,rs157580,LDL-C,Hypercholesterolemia,LDL cholesterol
488,rs6544713,LDL-C,max,5.813e-08,3.045,LDL cholesterol,"LDL cholesterol (AA) || Phytosterol levels (campesterol) || Cholesterol, total || LDL cholesterol || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Gallstones",2,44073881.0,ABCG8,rs6544713,13200.0,6133.0,0.0,Silent,0.3203,1.5119999999999998,0.0001528,1.358,0.0009016,1.848,0.0003398,0.7033,0.09362000000000001,3.045,5.813e-08,1.0,1.0,1.12,1.422e-05,Lipids,LDL CHOLESTEROL CALC,rs6544713,LDL-C,Hypercholesterolemia,LDL cholesterol
489,rs1501908,LDL-C,first,0.07332999999999999,-0.8996,LDL cholesterol,,5,156398169.0,,rs1501908,13200.0,6133.0,0.0,,0.3662,-0.5352,0.1687,-0.6735,0.09097000000000001,-0.8996,0.07332999999999999,-0.6747,0.09867999999999999,-0.09281,0.8652,1.0,1.0,1.01,0.5951,Lipids,LDL CHOLESTEROL CALC,rs1501908,LDL-C,Hypercholesterolemia,LDL cholesterol
490,rs6102059,LDL-C,ever_high,0.00024730000000000005,0.9053,LDL cholesterol,,20,39228784.0,,rs6102059,13200.0,6133.0,0.0,,0.3023,-0.7076,0.08294,-0.5348,0.2008,-1.3780000000000001,0.008922,-0.5801,0.1761,-1.278,0.02593,1.0,1.0,0.91,0.00024730000000000005,Lipids,LDL CHOLESTEROL CALC,rs6102059,LDL-C,Hypercholesterolemia,LDL cholesterol
491,rs2650000,LDL-C,first,0.014819999999999998,1.226,Metabolic traits (CRP) || LDL cholesterol,,12,121388962.0,,rs2650000,13200.0,6133.0,0.0,,0.3467,0.8591,0.0274,0.8991,0.02424,1.226,0.014819999999999998,0.6802,0.09648999999999999,0.79,0.1492,1.0,1.0,1.05,0.04677,Lipids,LDL CHOLESTEROL CALC,rs2650000,LDL-C,Hypercholesterolemia,LDL cholesterol
492,rs12740374,LDL-C,max,7.097e-21,-5.952000000000001,Coronary heart disease (LDL-C) || LDL cholesterol || Lipoprotein-associated phospholipase A2 activity and mass (activity),"Cholesterol, total || LDL cholesterol || Cardiovascular disease risk factors (LDL) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Coronary heart disease (LDL-C) || Lipoprotein-associated phospholipase A2 activity and mass (activity)",1,109817590.0,CELSR2,rs12740374,13200.0,6133.0,0.0,Silent,0.2205,-4.0569999999999995,2.644e-19,-3.905,3.2079999999999996e-17,-4.739,4.633e-16,-2.813,3.181e-09,-5.952000000000001,7.097e-21,1.0,1.0,0.8,2.134e-13,Lipids,LDL CHOLESTEROL CALC,rs12740374,LDL-C,Hypercholesterolemia,LDL cholesterol
496,rs3846663,LDL-C,max,0.0004248,1.899,LDL cholesterol || Quantitative traits (TC) || Quantitative traits (LDL-C),"Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74655726.0,HMGCR,rs3846663,13200.0,6133.0,0.0,"Silent,Silent",0.3763,1.218,0.00148,1.175,0.002769,1.615,0.001105,0.7612,0.0587,1.899,0.0004248,1.0,1.0,1.06,0.02145,Lipids,LDL CHOLESTEROL CALC,rs3846663,LDL-C,Hypercholesterolemia,LDL cholesterol
500,rs4844614,LDL-C,max,0.1082,-0.9974,LDL cholesterol,LDL cholesterol || Erythrocyte sedimentation rate,1,207875175.0,CR1L,rs4844614,13200.0,6133.0,0.0,Silent,0.2537,-0.4247,0.3297,-0.3261,0.4656,-0.8748,0.1251,-0.3932,0.3913,-0.9974,0.1082,1.0,1.0,0.98,0.4732,Lipids,LDL CHOLESTEROL CALC,rs4844614,LDL-C,Hypercholesterolemia,LDL cholesterol
504,rs5031002,LDL-C,min,0.3141,-1.392,LDL cholesterol,LDL cholesterol,X,66942625.0,AR,rs5031002,13200.0,6133.0,0.0,"Silent,Silent",0.02668,-0.6175,0.6388,-0.8711,0.5181,0.664,0.6961,-1.392,0.3141,0.6761,0.7148,1.0,1.0,1.0,0.9781,Lipids,LDL CHOLESTEROL CALC,rs5031002,LDL-C,Hypercholesterolemia,LDL cholesterol
505,rs11668477,LDL-C,mean,2.125e-11,-3.0839999999999996,LDL cholesterol,,19,11195030.0,,rs11668477,13200.0,6133.0,0.0,,0.2087,-3.0839999999999996,2.125e-11,-3.05,1.008e-10,-3.0660000000000003,2.572e-07,-2.5660000000000003,1.153e-07,-3.653,1.708e-08,1.0,1.0,0.84,1.54e-08,Lipids,LDL CHOLESTEROL CALC,rs11668477,LDL-C,Hypercholesterolemia,LDL cholesterol
506,rs7703051,LDL-C,max,0.00021400000000000002,1.992,LDL cholesterol,,5,74625487.0,,rs7703051,13200.0,6133.0,0.0,,0.3773,1.245,0.0011380000000000001,1.186,0.0024809999999999997,1.681,0.0006741000000000001,0.7722,0.054889999999999994,1.992,0.00021400000000000002,1.0,1.0,1.06,0.016819999999999998,Lipids,LDL CHOLESTEROL CALC,rs7703051,LDL-C,Hypercholesterolemia,LDL cholesterol
508,rs599839,LDL-C,max,2.771e-18,-5.476,Coronary heart disease || LDL cholesterol || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Metabolite levels (LDL),,1,109822166.0,,rs599839,13200.0,6133.0,0.0,,0.2288,-3.7969999999999997,1.7879999999999997e-17,-3.6460000000000004,1.568e-15,-4.433,1.5330000000000003e-14,-2.719,6.993e-09,-5.476,2.771e-18,1.0,1.0,0.81,7.315000000000001e-12,Lipids,LDL CHOLESTEROL CALC,rs599839,LDL-C,Hypercholesterolemia,LDL cholesterol
510,rs562338,LDL-C,max,5.194e-08,-3.67,LDL cholesterol,,2,21288321.0,,rs562338,13200.0,6133.0,0.0,,0.1808,-2.292,1.7440000000000002e-06,-2.199,7.55e-06,-2.763,8.137999999999999e-06,-1.383,0.006044,-3.67,5.194e-08,1.0,1.0,0.89,0.00023090000000000003,Lipids,LDL CHOLESTEROL CALC,rs562338,LDL-C,Hypercholesterolemia,LDL cholesterol
512,rs16996148,LDL-C,ever_high,0.00477,0.8794,LDL cholesterol || Triglycerides,,19,19658472.0,,rs16996148,13200.0,6133.0,0.0,,0.08226,-1.06,0.1209,-1.131,0.1058,-0.9293,0.292,-0.7495,0.2961,-1.452,0.1304,1.0,1.0,0.88,0.00477,Lipids,LDL CHOLESTEROL CALC,rs16996148,LDL-C,Hypercholesterolemia,LDL cholesterol
515,rs12654264,LDL-C,max,0.0002596,1.966,Metabolite levels (LDL) || LDL cholesterol,"Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74648603.0,HMGCR,rs12654264,13200.0,6133.0,0.0,"Silent,Silent",0.3769,1.238,0.001227,1.189,0.002447,1.624,0.001025,0.7659,0.05699,1.966,0.0002596,1.0,1.0,1.06,0.02043,Lipids,LDL CHOLESTEROL CALC,rs12654264,LDL-C,Hypercholesterolemia,LDL cholesterol
519,rs2254287,LDL-C,max,0.4145,-0.4366,LDL cholesterol,LDL cholesterol,6,33143948.0,COL11A2,rs2254287,13200.0,6133.0,0.0,"Silent,Silent,Silent",0.4047,-0.2848,0.45399999999999996,-0.2945,0.4498,-0.231,0.6384,-0.05475,0.8911,-0.4366,0.4145,1.0,1.0,0.99,0.7301,Lipids,LDL CHOLESTEROL CALC,rs2254287,LDL-C,Hypercholesterolemia,LDL cholesterol
527,rs780094,LDL-C,ever_high,0.06936,1.047,Fasting insulin-related traits (interaction with BMI) || Fasting glucose-related traits (FPG) || Triglycerides (Hispanic) || Uric acid levels || LDL cholesterol || Fasting insulin-related traits (HOMA-IR) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || C-reactive protein || Urate levels || Fasting insulin-related traits (FI) || Calcium levels || Metabolic traits (glucose/mannose + 54 other traits) || Triglycerides || Metabolic syndrome (TG) || Fasting glucose-related traits (FI) || Phospholipid levels (plasma) (DPA),Metabolite levels (ALB) || Triglycerides || Breast size || Calcium levels || Crohn's disease || Palmitic acid (16:0) plasma levels || Palmitoleic acid (16:1n-7) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Triglycerides-Blood Pressure (TG-BP) || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || C-reactive protein || Fasting glucose-related traits (FI) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (FI) || Fasting insulin-related traits (HOMA-IR) || Fasting insulin-related traits (interaction with BMI) || LDL cholesterol || Metabolic syndrome (TG) || Metabolic traits (glucose/mannose + 54 other traits) || Phospholipid levels (plasma) (DPA) || Triglycerides (Hispanic) || Urate levels || Uric acid levels || Cardiovascular disease risk factors (TRIG) |,2,27741237.0,GCKR,rs780094,13200.0,6133.0,0.0,Silent,0.3937,0.055920000000000004,0.8833,0.06089,0.8759999999999999,0.3101,0.5284,-0.1596,0.69,0.4635,0.3868,1.0,1.0,1.05,0.06936,Lipids,LDL CHOLESTEROL CALC,rs780094,LDL-C,Hypercholesterolemia,LDL cholesterol
528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs17111684,LDL-C,Hypercholesterolemia,LDL cholesterol (AA)
530,rs4245791,LDL-C,max,1.756e-08,3.156,LDL cholesterol (AA) || Phytosterol levels (campesterol),"LDL cholesterol (AA) || Phytosterol levels (campesterol) || Cholesterol, total || LDL cholesterol || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Gallstones",2,44074431.0,ABCG8,rs4245791,13200.0,6133.0,0.0,Silent,0.3217,1.571,8.012e-05,1.415,0.0005262,1.893,0.00023480000000000004,0.7347,0.0793,3.156,1.756e-08,1.0,1.0,1.12,9.846e-06,Lipids,LDL CHOLESTEROL CALC,rs4245791,LDL-C,Hypercholesterolemia,LDL cholesterol (AA)
533,rs4971516,LDL-C,first,0.3098,1.314,LDL cholesterol (total cholesterol) || LDL cholesterol (LDL),LDL cholesterol (LDL) || LDL cholesterol (total cholesterol) || Prostate cancer,2,20903015.0,C2orf43,rs4971516,13200.0,6133.0,0.0,Silent,0.03518,0.6858,0.4934,0.2137,0.835,1.314,0.3098,0.8375,0.4261,1.189,0.3987,1.0,1.0,1.03,0.7043,Lipids,LDL CHOLESTEROL CALC,rs4971516,LDL-C,Hypercholesterolemia,LDL cholesterol (LDL)
534,rs4299376,LDL-C,max,2.6069999999999998e-08,3.1189999999999998,"Lipid metabolism phenotypes (LDL-C.assay, fasting) || Cholesterol, total || LDL cholesterol","LDL cholesterol (AA) || Phytosterol levels (campesterol) || Cholesterol, total || LDL cholesterol || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Gallstones",2,44072576.0,ABCG8,rs4299376,13200.0,6133.0,0.0,Silent,0.3213,1.571,8.161e-05,1.4169999999999998,0.000521,1.909,0.0002102,0.7522,0.0726,3.1189999999999998,2.6069999999999998e-08,1.0,1.0,1.12,1.025e-05,Lipids,LDL CHOLESTEROL CALC,rs4299376,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL-C.assay, fasting)"
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1367117,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL-C.assay, fasting)"
537,rs6511720,LDL-C,mean,3.3739999999999997e-16,-4.6610000000000005,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",19,11202306.0,LDLR,rs6511720,13200.0,6133.0,0.0,"Silent,Silent,Silent,Silent,Silent,Silent",0.1211,-4.6610000000000005,3.3739999999999997e-16,-4.5280000000000005,1.024e-14,-5.5520000000000005,5.37e-14,-3.613,1.7879999999999998e-09,-6.247999999999999,7.423000000000001e-15,1.0,1.0,0.76,2e-12,Lipids,LDL CHOLESTEROL CALC,rs6511720,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL-C.assay, fasting)"
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1367117,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL-C.assay, whole)"
540,rs6511720,LDL-C,mean,3.3739999999999997e-16,-4.6610000000000005,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",19,11202306.0,LDLR,rs6511720,13200.0,6133.0,0.0,"Silent,Silent,Silent,Silent,Silent,Silent",0.1211,-4.6610000000000005,3.3739999999999997e-16,-4.5280000000000005,1.024e-14,-5.5520000000000005,5.37e-14,-3.613,1.7879999999999998e-09,-6.247999999999999,7.423000000000001e-15,1.0,1.0,0.76,2e-12,Lipids,LDL CHOLESTEROL CALC,rs6511720,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL-C.assay, whole)"
541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1864163,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL.large, fasting)"
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1864163,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL.large, whole)"
543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs312985,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL.total, fasting)"
544,rs646776,LDL-C,max,5.9150000000000005e-21,-5.957999999999999,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",,1,109818530.0,,rs646776,13200.0,6133.0,0.0,,0.2214,-4.05,2.789e-19,-3.897,3.446e-17,-4.721,5.558e-16,-2.784,4.412e-09,-5.957999999999999,5.9150000000000005e-21,1.0,1.0,0.8,2.182e-13,Lipids,LDL CHOLESTEROL CALC,rs646776,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL.total, fasting)"
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs506585,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL.total, whole)"
546,rs646776,LDL-C,max,5.9150000000000005e-21,-5.957999999999999,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",,1,109818530.0,,rs646776,13200.0,6133.0,0.0,,0.2214,-4.05,2.789e-19,-3.897,3.446e-17,-4.721,5.558e-16,-2.784,4.412e-09,-5.957999999999999,5.9150000000000005e-21,1.0,1.0,0.8,2.182e-13,Lipids,LDL CHOLESTEROL CALC,rs646776,LDL-C,Hypercholesterolemia,"Lipid metabolism phenotypes (LDL.total, whole)"
547,rs4420638,LDL-C,mean,2.2200000000000002e-21,4.607,"Alzheimer's disease (age of onset) || Alzheimer's disease || C-reactive protein || LDL cholesterol || HDL cholesterol || Alzheimer's disease (late onset) || Quantitative traits (CRP) || Age-related macular degeneration || Cholesterol, total || Quantitative traits (TC) || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Cognitive decline || Triglycerides (LDL) || Lipid traits (LDL-C) || Quantitative traits (TG) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Longevity",,19,45422946.0,,rs4420638,13200.0,6133.0,0.0,,0.1801,4.607,2.2200000000000002e-21,4.581,3.1809999999999996e-20,4.877,7.670999999999999e-15,4.106,8.437999999999999e-16,5.244,1.636e-14,1.0,1.0,1.27,3.103e-13,Lipids,LDL CHOLESTEROL CALC,rs4420638,LDL-C,Hypercholesterolemia,Lipid traits (LDL-C)
548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs7412,LDL-C,Hypercholesterolemia,Lipid traits (LDL-C)
549,rs651007,LDL-C,max,0.00031239999999999995,2.335,Serum alkaline phosphatase levels || Metabolite levels (LDL) || E-selectin levels || End-stage coagulation (FVIII),,9,136153875.0,,rs651007,13200.0,6133.0,0.0,,0.2095,1.0959999999999999,0.01731,1.022,0.03028,1.329,0.0255,0.2589,0.5927,2.335,0.00031239999999999995,1.0,1.0,1.11,0.0008265000000000001,Lipids,LDL CHOLESTEROL CALC,rs651007,LDL-C,Hypercholesterolemia,Metabolite levels (LDL)
550,rs599839,LDL-C,max,2.771e-18,-5.476,Coronary heart disease || LDL cholesterol || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Metabolite levels (LDL),,1,109822166.0,,rs599839,13200.0,6133.0,0.0,,0.2288,-3.7969999999999997,1.7879999999999997e-17,-3.6460000000000004,1.568e-15,-4.433,1.5330000000000003e-14,-2.719,6.993e-09,-5.476,2.771e-18,1.0,1.0,0.81,7.315000000000001e-12,Lipids,LDL CHOLESTEROL CALC,rs599839,LDL-C,Hypercholesterolemia,Metabolite levels (LDL)
551,rs12654264,LDL-C,max,0.0002596,1.966,Metabolite levels (LDL) || LDL cholesterol,"Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74648603.0,HMGCR,rs12654264,13200.0,6133.0,0.0,"Silent,Silent",0.3769,1.238,0.001227,1.189,0.002447,1.624,0.001025,0.7659,0.05699,1.966,0.0002596,1.0,1.0,1.06,0.02043,Lipids,LDL CHOLESTEROL CALC,rs12654264,LDL-C,Hypercholesterolemia,Metabolite levels (LDL)
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2738446,LDL-C,Hypercholesterolemia,Metabolite levels (LDL)
553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs9956878,LDL-C,Hypercholesterolemia,Obesity-related traits (LDL )
563,rs2159324,LDL-C,ever_high,0.09766,0.9594,Quantitative traits (LDL-C) || Quantitative traits (CRP),,19,45695738.0,,rs2159324,13200.0,6133.0,0.0,,0.4405,-0.06137000000000001,0.8706,0.0447,0.9078,-0.1301,0.7894,0.02745,0.9448,-0.2842,0.5919,1.0,1.0,0.96,0.09766,Lipids,LDL CHOLESTEROL CALC,rs2159324,LDL-C,Hypercholesterolemia,Quantitative traits (LDL-C)
564,rs3846663,LDL-C,max,0.0004248,1.899,LDL cholesterol || Quantitative traits (TC) || Quantitative traits (LDL-C),"Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74655726.0,HMGCR,rs3846663,13200.0,6133.0,0.0,"Silent,Silent",0.3763,1.218,0.00148,1.175,0.002769,1.615,0.001105,0.7612,0.0587,1.899,0.0004248,1.0,1.0,1.06,0.02145,Lipids,LDL CHOLESTEROL CALC,rs3846663,LDL-C,Hypercholesterolemia,Quantitative traits (LDL-C)
565,rs4420638,LDL-C,mean,2.2200000000000002e-21,4.607,"Alzheimer's disease (age of onset) || Alzheimer's disease || C-reactive protein || LDL cholesterol || HDL cholesterol || Alzheimer's disease (late onset) || Quantitative traits (CRP) || Age-related macular degeneration || Cholesterol, total || Quantitative traits (TC) || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Cognitive decline || Triglycerides (LDL) || Lipid traits (LDL-C) || Quantitative traits (TG) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Longevity",,19,45422946.0,,rs4420638,13200.0,6133.0,0.0,,0.1801,4.607,2.2200000000000002e-21,4.581,3.1809999999999996e-20,4.877,7.670999999999999e-15,4.106,8.437999999999999e-16,5.244,1.636e-14,1.0,1.0,1.27,3.103e-13,Lipids,LDL CHOLESTEROL CALC,rs4420638,LDL-C,Hypercholesterolemia,Triglycerides (LDL)
566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs693,LDL-C,Hypercholesterolemia,Triglycerides (LDL)
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2746347,LymAbs,Elevated white blood cell count,Lymphocyte counts
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs2524079,LymAbs,Elevated white blood cell count,White blood cell count (Lymphocytes)
